AAPL,,,,,
Date,Open,High,Low,Close,Volume
2025-10-22,262.3956210979312,262.5954395959732,255.18261234613632,258.19970703125,45015300.0
2025-10-23,259.68824995662277,260.36758405794774,257.76012648314656,259.3285827636719,32754900.0
2025-10-24,260.93706434715574,263.87421967110856,258.9290010880386,262.56549072265625,38253700.0
2025-10-27,264.6234656652487,268.8593494221352,264.3936774471076,268.5496520996094,44888200.0
2025-10-28,268.7294713644567,269.6286240979669,267.8902885694659,268.7394714355469,41534800.0
2025-10-29,269.01920560410514,271.1471476128123,266.85129379808274,269.4388122558594,51086700.0
2025-10-30,271.72657092903916,273.87451306817263,268.2199910571769,271.13714599609375,69886500.0
2025-10-31,276.721738255342,277.05143573891627,268.89933466249033,270.108154296875,86167100.0
2025-11-03,270.15812755648943,270.5877038096653,265.9921525413924,268.7894287109375,50194600.0
2025-11-04,268.0701070960229,271.22705027239556,267.36080327265466,269.7784729003906,49274800.0
2025-11-05,268.3498399683747,271.43687417180433,266.67147434431234,269.8783874511719,43683100.0
2025-11-06,267.6305743388968,273.1352174017799,267.6305743388968,269.50872802734375,51204000.0
2025-11-07,269.5386899523433,272.02629915101613,266.51162568814635,268.2099914550781,48227400.0
2025-11-10,268.9599914550781,273.7300109863281,267.4599914550781,269.42999267578125,41312400.0
2025-11-11,269.80999755859375,275.9100036621094,269.79998779296875,275.25,46208300.0
2025-11-12,275.0,275.7300109863281,271.70001220703125,273.4700012207031,48398000.0
2025-11-13,274.1099853515625,276.70001220703125,272.0899963378906,272.95001220703125,49602800.0
2025-11-14,271.04998779296875,275.9599914550781,269.6000061035156,272.4100036621094,47431300.0
2025-11-17,268.82000732421875,270.489990234375,265.7300109863281,267.4599914550781,45018300.0
2025-11-18,269.989990234375,270.7099914550781,265.32000732421875,267.44000244140625,45677300.0
2025-11-19,265.5299987792969,272.2099914550781,265.5,268.55999755859375,40424500.0
2025-11-20,270.8299865722656,275.42999267578125,265.9200134277344,266.25,45823600.0
2025-11-21,265.8800048828125,273.31500244140625,265.82000732421875,271.489990234375,55524271.0
,,,,,
MSFT,,,,,
Date,Open,High,Low,Close,Volume
2025-10-22,520.1764726871388,524.2488070435115,516.7428964573043,519.5675659179688,18962700.0
2025-10-23,521.4839993377199,522.9712060783663,517.6411550810741,519.5875244140625,14023500.0
2025-10-24,521.8133604589415,524.3685757173844,519.7372899447384,522.6318359375,15532400.0
2025-10-27,530.7866236569336,533.5813808592218,528.0217787333662,530.527099609375,18734700.0
2025-10-28,548.9725518014023,552.6855732732587,539.7598137450263,541.057373046875,29986700.0
2025-10-29,543.9220119141725,545.2495444281135,535.7273269044096,540.538330078125,36023000.0
2025-10-30,529.4889853080866,533.9705877450752,521.1446173319796,524.77783203125,41023100.0
2025-10-31,527.8919782690999,528.3311587204174,514.137692119172,516.8426513671875,34006400.0
2025-11-03,518.8389228578652,523.9793263365088,513.628703759196,516.0641479492188,22374700.0
2025-11-04,510.80399534425794,514.5868933466259,506.8913048594995,513.3692016601562,20958700.0
2025-11-05,512.3410686781482,513.8682396575209,505.6336213981725,506.2125549316406,23024300.0
2025-11-06,504.7153625290288,504.75529633258907,494.88375756631746,496.1713562011719,27406500.0
2025-11-07,496.02163823572937,498.4470913363115,492.32853818272196,495.8918762207031,24019800.0
2025-11-10,499.10586069795033,505.9031361854127,497.8681564860657,505.0547180175781,26101500.0
2025-11-11,503.85694933091565,508.64800052182136,501.411544557113,507.7297058105469,17980000.0
2025-11-12,508.4084461357136,510.7141588310794,498.18758530403636,510.1851501464844,26574900.0
2025-11-13,509.3566671737073,512.54071024479,500.3535287599438,502.34979248046875,25273100.0
2025-11-14,497.2992409027003,510.644258818196,496.51070821491913,509.2268981933594,28505700.0
2025-11-17,507.5001596757347,511.16328656765256,503.9667643395777,506.54193115234375,19092800.0
2025-11-18,494.44458869198826,502.0403882023454,485.87063942574486,492.8675537109375,33815100.0
2025-11-19,489.18443539234676,494.264922953439,481.9279972054541,486.2099914550781,23245300.0
2025-11-20,492.7099914550781,493.57000732421875,475.5,478.42999267578125,26802500.0
2025-11-21,478.3900146484375,478.9200134277344,468.2699890136719,472.1199951171875,31397484.0
,,,,,
AMZN,,,,,
Date,Open,High,Low,Close,Volume
2025-10-22,219.3000030517578,220.00999450683594,216.52000427246094,217.9499969482422,44308500.0
2025-10-23,219.0,221.3000030517578,218.17999267578125,221.08999633789062,31540000.0
2025-10-24,221.97000122070312,225.39999389648438,221.89999389648438,224.2100067138672,38685100.0
2025-10-27,227.66000366210938,228.39999389648438,225.5399932861328,226.97000122070312,38267000.0
2025-10-28,228.22000122070312,231.49000549316406,226.2100067138672,229.25,47100000.0
2025-10-29,231.6699981689453,232.82000732421875,227.75999450683594,230.3000030517578,52036200.0
2025-10-30,227.05999755859375,228.44000244140625,222.75,222.86000061035156,102252900.0
2025-10-31,250.10000610351562,250.5,243.97999572753906,244.22000122070312,166340800.0
2025-11-03,255.36000061035156,258.6000061035156,252.89999389648438,254.0,95997800.0
2025-11-04,250.3800048828125,257.010009765625,248.66000366210938,249.32000732421875,51546300.0
2025-11-05,249.02999877929688,251.0,246.16000366210938,250.1999969482422,40610700.0
2025-11-06,249.16000366210938,250.3800048828125,242.1699981689453,243.0399932861328,46004200.0
2025-11-07,242.89999389648438,244.89999389648438,238.49000549316406,244.41000366210938,46374300.0
2025-11-10,248.33999633789062,251.75,245.58999633789062,248.39999389648438,36476500.0
2025-11-11,248.41000366210938,249.75,247.22999572753906,249.10000610351562,23564100.0
2025-11-12,250.24000549316406,250.3699951171875,243.75,244.1999969482422,31190100.0
2025-11-13,243.0500030517578,243.75,236.5,237.5800018310547,41401700.0
2025-11-14,235.05999755859375,238.72999572753906,232.88999938964844,234.69000244140625,38956700.0
2025-11-17,233.25,234.60000610351562,229.19000244140625,232.8699951171875,59919000.0
2025-11-18,228.10000610351562,230.1999969482422,222.4199981689453,222.5500030517578,60608400.0
2025-11-19,223.74000549316406,223.74000549316406,218.52000427246094,222.69000244140625,58335600.0
2025-11-20,227.0500030517578,227.41000366210938,216.74000549316406,217.13999938964844,50309000.0
2025-11-21,216.3800048828125,222.20199584960938,215.17999267578125,220.69000244140625,65553588.0
,,,,,
NVDA,,,,,
Date,Open,High,Low,Close,Volume
2025-10-22,181.13999938964844,183.44000244140625,176.75999450683594,180.27999877929688,162249600.0
2025-10-23,180.4199981689453,183.02999877929688,179.7899932861328,182.16000366210938,111363700.0
2025-10-24,183.83999633789062,187.47000122070312,183.5,186.25999450683594,131296700.0
2025-10-27,189.99000549316406,192.0,188.42999267578125,191.49000549316406,153452700.0
2025-10-28,193.0500030517578,203.14999389648438,191.91000366210938,201.02999877929688,297986200.0
2025-10-29,207.97999572753906,212.19000244140625,204.77999877929688,207.0399932861328,308829600.0
2025-10-30,205.14999389648438,206.16000366210938,201.41000366210938,202.88999938964844,178864400.0
2025-10-31,206.4499969482422,207.97000122070312,202.07000732421875,202.49000549316406,179802200.0
2025-11-03,208.0800018310547,211.33999633789062,205.55999755859375,206.8800048828125,180267300.0
2025-11-04,203.0,203.97000122070312,197.92999267578125,198.69000244140625,188919300.0
2025-11-05,198.77000427246094,202.9199981689453,194.64999389648438,195.2100067138672,171350300.0
